A length: 145
A row length: 778240
Fast reject!1out of 1
Fast reject!2out of 4
Fast reject!3out of 7
Fast reject!4out of 9
Fast reject!5out of 11
Fast reject!6out of 12
Fast reject!7out of 13
Fast reject!8out of 14
Fast reject!9out of 16
Fast reject!10out of 17
Fast reject!11out of 19
Fast reject!12out of 22
Fast reject!13out of 24
Fast reject!14out of 27
Fast reject!15out of 30
Fast reject!16out of 31
Fast reject!17out of 33
Fast reject!18out of 36
Fast reject!19out of 38
Fast reject!20out of 39
Fast reject!21out of 41
Fast reject!22out of 42
Fast reject!23out of 43
Fast reject!24out of 44
Fast reject!25out of 45
Fast reject!26out of 48
Fast reject!27out of 50
Fast reject!28out of 56
Fast reject!29out of 58
Fast reject!30out of 61
Fast reject!31out of 62
Fast reject!32out of 64
Fast reject!33out of 65
Fast reject!34out of 66
Fast reject!35out of 68
Fast reject!36out of 69
Fast reject!37out of 70
Fast reject!38out of 72
Fast reject!39out of 75
Fast reject!40out of 76
Fast reject!41out of 78
Fast reject!42out of 80
Fast reject!43out of 81
Fast reject!44out of 82
Fast reject!45out of 83
Fast reject!46out of 85
Fast reject!47out of 89
Fast reject!48out of 91
Fast reject!49out of 97
Fast reject!50out of 98
Fast reject!51out of 100
Fast reject!52out of 101
Fast reject!53out of 102
Fast reject!54out of 104
Fast reject!55out of 106
Fast reject!56out of 107
Fast reject!57out of 108
Fast reject!58out of 109
Fast reject!59out of 111
Fast reject!60out of 113
Fast reject!61out of 115
Fast reject!62out of 116
Fast reject!63out of 117
Fast reject!64out of 118
Fast reject!65out of 120
Fast reject!66out of 122
Fast reject!67out of 123
Fast reject!68out of 125
Fast reject!69out of 127
Fast reject!70out of 129
Fast reject!71out of 130
Fast reject!72out of 131
Fast reject!73out of 132
Fast reject!74out of 134
Fast reject!75out of 135
Fast reject!76out of 136
Fast reject!77out of 139
Fast reject!78out of 140
Fast reject!79out of 147
Fast reject!80out of 151
Fast reject!81out of 152
Fast reject!82out of 153
Fast reject!83out of 154
Fast reject!84out of 155
Fast reject!85out of 156
Fast reject!86out of 157
Fast reject!87out of 158
Fast reject!88out of 161
Fast reject!89out of 162
