String,Local,Quantum,Local + 1,Quantum - (Local + 1)
'523253100404',0.5,0.4001,0.2353,0.1648
'101204152132',0.5217,0.3879,0.2812,0.10670000000000002
'123415344305',0.5,0.3998,0.2698,0.13
'330013115011',0.5,0.3978,0.3,0.0978
'441302203054',0.5,0.3786,0.2727,0.1059
'404254100302',0.5,0.4018,0.2857,0.11609999999999998
'422044304204',0.5172,0.4017,0.2744,0.12730000000000002
'434101141444',0.5192,0.4057,0.2784,0.12730000000000002
'341240331115',0.5185,0.4145,0.3,0.11449999999999999
'234225513251',0.5,0.3996,0.2297,0.16990000000000002
'310002550310',0.5,0.4038,0.2424,0.1614
'522341500110',0.5231,0.4086,0.2872,0.12140000000000001
'214352032453',0.5217,0.4111,0.2784,0.13270000000000004
'123405135451',0.5172,0.4075,0.2857,0.12179999999999996
'211113101015',0.525,0.4107,0.2927,0.118
'452052125020',0.5,0.4089,0.2667,0.1422
'124022504142',0.5172,0.4049,0.2812,0.12369999999999998
'553044033132',0.5,0.4014,0.2812,0.12019999999999997
'024511333403',0.525,0.4125,0.2903,0.12219999999999998
