String,Local,Quantum,Local + 1,Quantum - (Local + 1)
'544402215',0.5,0.3899,0.2812,0.10870000000000002
'535504132',0.5,0.4005,0.3,0.10050000000000003
'542213114',0.5,0.3809,0.2727,0.10820000000000002
'423443240',0.5,0.3683,0.15,0.21830000000000002
'123053241',0.5,0.3809,0.2308,0.1501
'143335511',0.5172,0.3805,0.2727,0.1078
'304551005',0.5,0.3863,0.2222,0.16409999999999997
'450042321',0.5,0.3922,0.2264,0.1658
'313445222',0.4737,0.4,0.1875,0.21250000000000002
'140100012',0.5,0.3778,0.25,0.12780000000000002
'100124300',0.5,0.372,0.2202,0.1518
'055322413',0.4286,0.2929,0.0,0.2929
'253450342',0.5,0.3221,0.0,0.3221
'031554550',0.5,0.3873,0.2857,0.10159999999999997
