String,Local,Quantum,Local + 1,Quantum - (Local + 1)
'0515200014311325',0.5516,0.425,0.3484,0.0766
'5135142520502043',0.5473,0.4264,0.3531,0.07329999999999998
'2241105450003541',0.5581,0.4057,0.3504,0.055300000000000016
'5524345005102334',0.5546,0.4071,0.3406,0.0665
'1035344322343404',0.5474,0.3996,0.3569,0.042700000000000016
'4302210554123115',0.5333,0.4355,0.315,0.1205
'4221425044351352',0.5547,0.4277,0.3335,0.0942
'4252510212532250',0.5419,0.4178,0.3403,0.07750000000000001
'3200031223253153',0.5581,0.4287,0.35,0.07870000000000005
'1412454534334255',0.5455,0.4355,0.3376,0.09789999999999999
'2423111511042511',0.5357,0.4344,0.3191,0.11530000000000001
'4455505133344033',0.5401,0.4209,0.3277,0.0932
'4305232235231104',0.5419,0.4082,0.3374,0.07080000000000003
'2151343142203304',0.5635,0.4181,0.3479,0.07020000000000004
'2130501000501523',0.5319,0.4125,0.3162,0.0963
'3024204015101205',0.5504,0.3998,0.3386,0.06119999999999998
'1204111303000255',0.5508,0.4219,0.3443,0.0776
'1035033423350415',0.5538,0.4264,0.3506,0.07579999999999998
'5000551250505124',0.5512,0.3711,0.3388,0.032299999999999995
'2043305310202523',0.54,0.42,0.3332,0.08679999999999999
