String,Local,Quantum,Local + 1,Quantum - (Local + 1)
'lpuoahhje',0.5,0.3803,0.1975,0.18280000000000002
'uthkulkuv',0.5,0.3823,0.1939,0.18839999999999998
'idtstoqme',0.5,0.3791,0.2424,0.1367
'lrxfioaas',0.507,0.379,0.2478,0.1312
'rxrkhkqgv',0.5,0.3792,0.2443,0.1349
'cvnqkmxem',0.5128,0.3826,0.2449,0.1377
'rbshjjgke',0.5,0.3749,0.2376,0.1373
'mrxdidema',0.5,0.3841,0.2857,0.09839999999999999
'eouogrbmm',0.5,0.364,0.1905,0.1735
'qfwrsveji',0.5053,0.3723,0.1988,0.17350000000000002
'qwdwftbdj',0.5,0.3671,0.1882,0.17889999999999998
'hphvjfrjt',0.5,0.3841,0.2544,0.12969999999999998
'biekohquh',0.5,0.3434,0.1231,0.2203
'ngdtlrhwc',0.5152,0.3932,0.2936,0.09959999999999997
'mkcigcfsm',0.5143,0.3882,0.2524,0.13579999999999998
'xqqfehhla',0.5,0.3624,0.233,0.1294
'hfjscpsld',0.5,0.3782,0.2461,0.13209999999999997
'hmhvgclre',0.5079,0.3813,0.2759,0.1054
'klefunflx',0.507,0.379,0.2783,0.10070000000000001
'wappackbl',0.5161,0.4013,0.3048,0.09649999999999997
'nuksikwkh',0.5,0.3532,0.1951,0.15810000000000002
'mupbapwir',0.5089,0.3845,0.2795,0.10499999999999998
'inmjomnfa',0.5,0.3571,0.125,0.23209999999999997
'psxhdelim',0.5128,0.3836,0.2783,0.1053
'bduarnamu',0.5,0.3769,0.2712,0.10570000000000002
'mdmplpluj',0.4848,0.3856,0.1579,0.22769999999999999
'sjglhwrbu',0.5,0.3639,0.1924,0.1715
'tggolvdlb',0.5143,0.3913,0.2936,0.09769999999999995
'pdealvwki',0.5079,0.3685,0.2416,0.12689999999999999
'lwqmxnchl',0.5,0.381,0.2,0.181
'eosohhejj',0.5,0.3821,0.2449,0.1372
'gaetxtelf',0.5128,0.3846,0.2468,0.1378
'dtlntdask',0.5,0.3787,0.1935,0.18519999999999998
'xwbkcnnmq',0.5,0.3829,0.2735,0.1094
