ML Loss,1 Bit of Communication,No Communication
0,0.000,0.000
0.33,0.000,0.000
0.5,0.000,0.000
0.6,0.000,0.000
0.65,0.000,0.001
0.67,0.000,0.001
0.68,0.000,0.000
0.69,0.000,0.000
0.7,0.000,0.000
0.705,0.000,0.001
0.706,0.000,0.001
0.707,0.001,0.001
0.708,0.000,0.000
0.709,0.000,0.000
0.71,0.000,0.001
0.72,0.000,0.001
0.73,0.000,0.001
0.75,0.000,0.002
0.8,0.001,0.003
0.9,0.000,0.019
1,0.000,0.033
